XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
XE                                 X
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX X
X                                  X
X XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X                                  X
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX X
X                                  X
X XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X                                  X
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX X
X                                  X
X XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X                                  X
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX X
X                                  X
X XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X                                  X
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX X
X                                  X
X XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X                                  X
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX X
XS                                 X
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
