XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
XE  X     X       X     X   X X       X   X     X   X    X
X X X XXX X XXXXX X XXX X X X X XXXXX X X X XXX X X X XXXX
X X   X   X X   X   X   X X   X     X X   X X   X X X X  X
X XXXXX X X X XXXXXXX XXXXX XXXXX XXXXX XXXXX XXXXX X X XX
X       X X X X       X   X X   X X     X     X     X X  X
X XXXXXXX X X X XXXXX X X X X X X X XXXXX XXXXX XXXXX X XX
X X       X X X X     X X X   X X X X   X X     X   X X  X
X X XXXXXXX X X X XXXXX X XXXXX X X X X X X XXXXX X X X XX
X   X       X   X X     X       X   X X   X X     X   X  X
X XXXXX XXXXXXX X X XXXXXXXXXXX XXXXX XXXXX X XXXXX XXXX X
X X     X       X X X           X     X     X X     X    X
X X XXXXX XXXXX X X X XXXXXXXXX X XXXXX XXXXX X XXXXX X XX
X   X     X     X   X X         X X     X     X X     X  X
X XXXXX XXXXX XXXXXXX X XXXXXXX X X XXXXX XXXXX X XXXXX XX
X X     X     X       X X     X   X X     X     X X      X
X X XXXXX XXXXX XXXXX X X XXX XXXXX X XXXXX XXXXX X XXXXXX
X   X     X     X     X X X   X     X X     X     X X    X
X XXXXX XXXXX XXXXX X X X X XXXXX XXXXX XXXXX XXXXX X XXXX
X X     X     X     X X     X     X     X     X     X    X
X X XXXXX XXXXX XXXXX XXXXXXX XXXXX XXXXX XXXXX XXXXX XXXX
X   X     X     X     X       X     X     X     X     X  X
X XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XX
X X     X     X     X     X     X     X     X     X      X
X X     X     X     X     X     X     X     X     X     XX
X X XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XXXXXX
X   X     X     X     X     X     X     X     X     X    X
X XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XX
X X     X     X     X     X     X     X     X     X     XX
X X XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XXXXXX
X X     X     X     X     X     X     X     X     X     XX
X X XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XXXXX XXXXXX
X   X                                                   SX
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
